# Simulation 5 (Up to date)
# 355 data points written for 49 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
8.8199,341.22,6.4372,-9.3961,8.4479,9.4269,50.624,0.013236,50.624,0.01498,5.4709,0.76157,6.512,-2.3008e-6,23.134,-1.3431e-4,374.69,0,0.06813,0.001474,85.422,76.228,1.8098,0.028932,687959,0,0.083114,0.65445,0.71881,0.47744,0.056903,0.12011,2.6842,3.4313,3.1109e-4,0,0,0,0,1.4261,0.001147,47.525,0.02244,NaN,12.782,973.23,339.04,0.05,0.070405
8.8699,341.53,5.9693,-9.3258,8.0706,9.3599,50.897,0.013385,50.897,0.015068,5.4317,0.79818,7.4066,-2.2987e-6,23.992,-4.361e-4,374.69,0,0.06813,0.001474,84.933,76.228,1.7135,0.028013,666078,0,0.079922,0.65763,0.73735,0.48064,0.056888,0.1201,3.1063,3.6862,3.495e-4,0,0,0,0,1.6362,0.0011006,46.346,0.022571,NaN,12.78,973.19,339.04,0.05,0.070606
8.9199,341.81,5.5044,-9.2659,7.7049,9.302,51.167,0.013534,51.167,0.015155,5.3913,0.81817,8.2594,-2.3098e-6,24.833,-4.6972e-4,374.69,0,0.06813,0.001474,84.484,76.228,1.6252,0.027061,643423,0,0.076468,0.66107,0.75602,0.4841,0.056873,0.1201,3.5206,3.8429,-7.6179e-5,0,0,0,0,1.8783,0.0010558,45.126,0.022701,NaN,12.778,973.16,339.04,0.05,0.070805
8.9699,342.08,5.0428,-9.2064,7.3519,9.2441,51.436,0.013683,51.436,0.015242,5.3498,0.83412,9.1644,-2.3088e-6,25.65,-4.1943e-4,374.69,0,0.06813,0.001474,84.026,76.228,1.5351,0.026128,621219,0,0.073161,0.6646,0.77595,0.48765,0.056859,0.12009,3.9725,3.9481,-2.4182e-4,0,0,0,0,2.1498,0.0010126,43.863,0.022829,NaN,12.777,973.13,339.04,0.05,0.071003
9.0199,342.32,4.5837,-9.1462,7.0133,9.1853,51.702,0.013832,51.702,0.015328,5.308,0.84709,10.137,-2.3077e-6,26.419,-3.3293e-4,374.69,0,0.06813,0.001474,83.554,76.228,1.4421,0.025215,599495,0,0.069987,0.66821,0.79704,0.49128,0.056846,0.12008,4.4724,4.0007,4.2471e-4,0,0,0,0,2.4488,9.7132e-4,42.562,0.022956,NaN,12.775,973.1,339.04,0.05,0.071205
9.0699,342.53,4.1287,-9.0416,6.6905,9.0864,51.967,0.013981,51.967,0.015414,5.2647,0.90117,11.511,-2.309e-6,27.157,-9.2009e-4,374.69,0,0.06813,0.001474,82.92,76.228,1.3173,0.02457,584156,0,0.068595,0.67087,0.82274,0.49396,0.056837,0.12008,5.2031,4.129,1.0939e-4,0,0,0,0,2.725,9.3207e-4,41.222,0.023084,NaN,12.774,973.08,339.04,0.05,0.071405
9.1199,342.73,3.6798,-8.9354,6.3849,8.9856,52.229,0.014129,52.229,0.0155,5.2178,0.94835,12.911,-2.3112e-6,27.886,-0.0012926,374.69,0,0.06813,0.001474,82.311,76.228,1.1975,0.023961,569670,0,0.067086,0.67347,0.84607,0.49657,0.056828,0.12007,5.977,4.1365,-2.4189e-4,0,0,0,0,3.0212,8.9491e-4,39.846,0.023211,NaN,12.772,973.05,339.04,0.05,0.071604
9.1699,342.9,3.2346,-8.8635,6.0989,8.9149,52.488,0.014278,52.488,0.015586,5.1705,0.95559,14.126,-2.3101e-6,28.546,-0.0011055,374.69,0,0.06813,0.001474,81.812,76.228,1.0992,0.023176,551006,0,0.064136,0.67695,0.86459,0.50006,0.056818,0.12007,6.6718,3.9498,-4.0888e-4,0,0,0,0,3.384,8.6021e-4,38.435,0.023335,NaN,12.771,973.03,339.04,0.05,0.071805
9.2199,343.05,2.7938,-8.7735,5.8345,8.8273,52.746,0.014427,52.746,0.015671,5.1221,0.97312,15.515,-2.3064e-6,29.138,-0.0010065,374.69,0,0.06813,0.001474,81.272,76.228,0.99297,0.022506,535072,0,0.061536,0.68005,0.87967,0.50317,0.056809,0.12007,7.4915,3.7002,2.2438e-4,0,0,0,0,3.7388,8.2815e-4,36.992,0.023455,NaN,12.77,973.02,339.04,0.05,0.072004
9.2699,343.18,2.3573,-8.6795,5.5941,8.7354,53.001,0.014575,53.001,0.015756,5.0732,0.98661,16.983,-2.307e-6,29.649,-8.5885e-4,374.69,0,0.06813,0.001474,80.735,76.228,0.88728,0.021868,519878,0,0.058645,0.68312,0.88805,0.50626,0.056801,0.12006,8.3876,3.3422,-1.1424e-4,0,0,0,0,4.1005,7.99e-4,35.522,0.023571,NaN,12.769,973,339.04,0.05,0.072204
9.3199,343.29,1.9263,-8.558,5.3799,8.6178,53.253,0.014723,53.253,0.015841,5.0232,1.0142,18.628,-2.3087e-6,30.081,-9.1717e-4,374.69,0,0.06813,0.001474,80.173,76.228,0.77652,0.021394,508605,0,0.05616,0.68547,0.88854,0.50862,0.056795,0.12006,9.4255,2.9089,4.6472e-4,0,0,0,0,4.4101,7.7293e-4,34.029,0.023682,NaN,12.769,972.99,339.04,0.05,0.072457
9.3699,343.37,1.5016,-8.4327,5.1937,8.4963,53.503,0.014871,53.503,0.015925,4.9719,1.0373,20.364,-2.3061e-6,30.421,-0.0010877,374.69,0,0.06813,0.001474,79.62,76.228,0.66773,0.02104,500193,0,0.053965,0.68728,0.88276,0.51043,0.056791,0.12006,10.441,1.8803,3.8343e-4,0,0,0,0,4.6634,7.5011e-4,32.516,0.02379,NaN,12.768,972.98,339.04,0.05,0.072668
9.4199,343.44,1.0821,-8.3392,5.0377,8.4033,53.75,0.015018,53.75,0.016009,4.9201,1.0355,22.193,-2.3063e-6,30.468,-0.0013893,374.69,0,0.06813,0.001474,79.08,76.228,0.56151,0.020866,496051,0,0.052307,0.68818,0.86998,0.51133,0.056789,0.12006,11.082,-1.1893,-4.7207e-4,0,0,0,0,4.7559,7.3078e-4,30.992,0.023894,NaN,12.768,972.97,339.04,0.05,0.072944
9.4699,343.48,0.66761,-8.2739,4.914,8.3353,53.995,0.015165,53.995,0.016092,4.8684,1.01,23.964,-2.3063e-6,30.121,-0.0012095,374.69,0,0.06813,0.001474,78.597,76.228,0.46633,0.020501,487369,0,0.049574,0.6901,0.85416,0.51326,0.056785,0.12005,11.739,-4.2629,-2.7274e-4,0,0,0,0,4.8154,7.1513e-4,29.475,0.023993,NaN,12.767,972.97,339.04,0.05,0.073332
9.5199,343.51,0.25414,-8.2407,4.8262,8.2967,54.237,0.015312,54.237,0.016176,4.8195,0.96227,25.828,-2.3042e-6,29.415,-6.6547e-4,374.69,0,0.06813,0.001474,78.126,76.228,0.3737,0.019909,473292,0,0.045671,0.69332,0.83441,0.51649,0.056778,0.12005,12.467,-7.6228,-4.8078e-4,0,0,0,0,4.8695,7.0363e-4,27.986,0.024088,NaN,12.767,972.96,339.04,0.05,0.073631
9.5699,343.51,-0.15533,-8.1224,4.7741,8.1794,54.477,0.015459,54.477,0.016259,4.7716,0.96384,27.865,-2.2987e-6,28.332,-7.4045e-4,374.69,0,0.06813,0.001474,77.654,76.228,0.28073,0.01981,470956,0,0.043605,0.69387,0.8046,0.51704,0.056777,0.12005,13.303,-11.069,1.9073e-4,0,0,0,0,4.5623,6.9619e-4,26.54,0.024179,NaN,12.767,972.96,339.04,0.05,0.073854
# Event APOGEE occurred at t=9.6199 seconds
9.6199,343.49,-0.55753,-7.9743,4.7557,8.0339,54.714,0.015605,54.714,0.016341,4.7229,0.97715,29.909,-2.3027e-6,26.848,-8.9016e-4,374.69,0,0.06813,0.001474,77.221,76.228,0.19556,0.019857,472071,0,0.041914,0.69361,0.76975,0.51678,0.056777,0.12005,14.178,-14.481,3.3117e-4,0,0,0,0,4.0776,6.9251e-4,25.159,0.024266,NaN,12.767,972.96,339.04,0.05,0.074906
9.6699,343.45,-0.95268,-7.8176,4.77,7.88,54.949,0.015751,54.949,0.016424,4.6739,0.98997,31.975,-2.3108e-6,24.959,-9.4588e-4,374.69,0,0.06813,0.001474,76.823,76.228,0.11716,0.019912,473362,0,0.040033,0.69331,0.73119,0.51648,0.056778,0.12005,15.097,-17.962,3.8711e-4,0,0,0,0,3.5049,6.9251e-4,23.862,0.024348,NaN,12.768,972.97,339.04,0.05,0.07513
9.7199,343.4,-1.3387,-7.6215,4.8136,7.6892,55.182,0.015897,55.182,0.016506,4.6237,1.0182,33.974,-2.3054e-6,22.636,-0.0011327,374.69,0,0.06813,0.001474,76.473,76.228,0.048151,0.020145,478917,0,0.038691,0.69202,0.69039,0.51519,0.056781,0.12005,16.013,-21.292,-4.3479e-5,0,0,0,0,2.8163,6.9582e-4,22.67,0.024428,NaN,12.768,972.98,339.04,0.05,0.075361
9.7699,343.32,-1.7149,-7.4503,4.8832,7.5213,55.411,0.016042,55.411,0.016587,4.5722,1.0315,36.117,-2.2914e-6,19.854,-0.0010663,374.69,0,0.06813,0.001474,76.132,76.228,-0.018832,0.020188,479944,0,0.036347,0.69179,0.6458,0.51495,0.056781,0.12005,17.022,-25.026,-1.8917e-4,0,0,0,0,2.1575,7.021e-4,21.606,0.024504,NaN,12.768,972.98,339.04,0.05,0.075575
# Event TUMBLE occurred at t=9.8199 seconds
9.8735,343.1,-2.5579,-8.8456,6.8521,9.3288,55.877,0.01634,55.877,0.016755,4.3617,2.9636,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.02021,480478,0,1.1657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.113e-4,NaN,NaN,2.007,12.769,973,339.04,0.053597,0.076649
9.9284,342.95,-3.0323,-8.6328,6.8372,9.0981,56.112,0.016495,56.112,0.016843,4.2038,2.8725,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020166,479439,0,1.1607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1556e-4,NaN,NaN,1.979,12.77,973.01,339.04,0.054956,0.076725
9.9849,342.76,-3.5077,-8.4254,6.7993,8.8602,56.345,0.01665,56.345,0.016931,4.0491,2.7416,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020055,476785,0,1.1479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2579e-4,NaN,NaN,1.8818,12.771,973.03,339.04,0.056432,0.076791
10.043,342.54,-3.983,-8.1971,6.8598,8.6239,56.575,0.016807,56.575,0.017021,3.8938,2.6794,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020233,481038,0,1.1684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4203e-4,NaN,NaN,1.846,12.772,973.05,339.04,0.057979,0.076855
10.103,342.29,-4.4574,-7.951,6.9734,8.3793,56.803,0.016965,56.803,0.017112,3.736,2.6447,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020568,489013,0,1.2075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6337e-4,NaN,NaN,1.8302,12.773,973.08,339.04,0.059671,0.076919
10.164,342,-4.931,-7.6922,7.1069,8.1218,57.028,0.017124,57.028,0.017204,3.5755,2.6065,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020962,498384,0,1.2542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8917e-4,NaN,NaN,1.7993,12.775,973.1,339.04,0.061563,0.076983
10.228,341.67,-5.4017,-7.3915,7.3442,7.8517,57.25,0.017285,57.25,0.017298,3.4069,2.6484,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.021661,515033,0,1.3394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1898e-4,NaN,NaN,1.8671,12.777,973.14,339.04,0.063681,0.077047
10.294,341.3,-5.8705,-7.0912,7.5428,7.5636,57.47,0.017447,57.47,0.017395,3.2329,2.6311,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.022247,528980,0,1.4128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5172e-4,NaN,NaN,1.8578,12.779,973.18,339.04,0.066106,0.07711
10.363,340.88,-6.3376,-6.7797,7.7408,7.2568,57.686,0.017612,57.686,0.017493,3.0546,2.5879,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.022831,542879,0,1.488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8741e-4,NaN,NaN,1.8126,12.782,973.22,339.04,0.068901,0.077173
10.435,340.41,-6.8038,-6.4611,7.9284,6.9288,57.9,0.01778,57.9,0.017594,2.874,2.5026,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.023384,556054,0,1.5611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2583e-4,NaN,NaN,1.7092,12.784,973.27,339.05,0.072162,0.077252
10.511,339.87,-7.2615,-6.0343,8.3311,6.5922,58.111,0.01795,58.111,0.017698,2.6727,2.654,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.024572,584317,0,1.7238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.6687e-4,NaN,NaN,1.9337,12.787,973.33,339.05,0.075847,0.077356
10.591,339.27,-7.7163,-5.6645,8.5737,6.2285,58.317,0.018123,58.317,0.017806,2.4648,2.5898,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.025288,601364,0,1.8258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010083,NaN,NaN,1.8857,12.791,973.39,339.05,0.080277,0.077424
10.676,338.6,-8.1605,-5.2128,8.9511,5.8664,58.517,0.018299,58.517,0.017918,2.2355,2.691,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.0264,627860,0,1.9901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010515,NaN,NaN,2.0718,12.795,973.46,339.05,0.085231,0.077488
10.768,337.83,-8.6005,-4.8115,9.2048,5.4679,58.711,0.01848,58.711,0.018035,1.9979,2.5976,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.027148,645693,0,2.1047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010947,NaN,NaN,2.0229,12.799,973.54,339.06,0.091442,0.077553
10.867,336.96,-9.0352,-4.3887,9.4747,5.0488,58.896,0.018665,58.896,0.018158,1.7508,2.4959,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.027944,664663,0,2.2301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011392,NaN,NaN,1.977,12.804,973.63,339.06,0.099033,0.077616
10.975,335.95,-9.4658,-3.9597,9.7342,4.5978,59.073,0.018857,59.073,0.01829,1.4966,2.3368,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.028709,682918,0,2.3541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011848,NaN,NaN,1.8715,12.81,973.73,339.06,0.10875,0.077692
11.096,334.79,-9.8843,-3.4764,10.06,4.153,59.237,0.019055,59.237,0.018431,1.2231,2.2719,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.029671,705854,0,2.5147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012316,NaN,NaN,1.9106,12.816,973.85,339.07,0.1204,0.077769
11.233,333.4,-10.3,-3.0278,10.318,3.6415,59.385,0.019263,59.385,0.018585,0.94532,2.0232,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.030429,723971,0,2.6453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012782,NaN,NaN,1.7354,12.824,973.99,339.07,0.13731,0.077837
11.394,331.71,-10.709,-2.5441,10.608,3.1069,59.515,0.019483,59.515,0.018756,0.65832,1.7834,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.031284,744415,0,2.7966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013261,NaN,NaN,1.5912,12.833,974.15,339.08,0.16093,0.077902
# Event EJECTION_CHARGE occurred at t=11.47 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=11.471 seconds
11.583,329.66,-11.085,-1.9924,10.977,2.6536,59.607,0.01971,59.607,0.018946,0.32808,1.7526,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.032373,770429,0,2.9951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013746,NaN,NaN,1.7503,12.844,974.35,339.08,0.18843,0.077966
11.615,329.31,-10.611,14.655,11.307,15.458,59.615,0.019745,59.615,0.018977,0.16907,4.916,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.033345,793715,0,9.3434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014201,NaN,NaN,1.9016,12.857,974.59,339.09,0.032346,0.078508
11.652,328.92,-10.14,12.615,10.826,13.405,59.619,0.019783,59.619,0.019012,9.6159e-4,4.5324,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.031926,759969,0,8.5656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013589,NaN,NaN,1.978,12.86,974.63,339.09,0.0373,0.078578
11.696,328.48,-9.6734,10.663,10.341,11.42,59.615,0.019823,59.615,0.019052,0.17897,4.0878,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.030496,725949,0,7.8157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012984,NaN,NaN,2.0272,12.862,974.67,339.09,0.043783,0.078684
11.748,327.99,-9.2116,8.812,9.8586,9.5403,59.6,0.019866,59.6,0.019098,0.37057,3.6558,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.029073,692109,0,7.1038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012389,NaN,NaN,2.0806,12.865,974.72,339.09,0.052409,0.078747
11.812,327.42,-8.7592,7.0819,9.3896,7.8264,59.57,0.019914,59.57,0.019154,0.58341,3.3316,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.02769,659209,0,6.4443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011807,NaN,NaN,2.19,12.868,974.78,339.1,0.063886,0.078809
11.893,326.72,-8.318,5.447,8.9172,6.174,59.513,0.019966,59.513,0.019222,0.81881,2.9067,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.026297,626076,0,5.8126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011247,NaN,NaN,2.2549,12.872,974.85,339.1,0.080985,0.078873
12,325.86,-7.897,3.9339,8.4571,4.6715,59.411,0.020023,59.411,0.01931,1.0885,2.5193,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.02494,593806,0,5.2286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010717,NaN,NaN,2.3463,12.876,974.93,339.1,0.10703,0.078936
12.162,324.61,-7.4918,2.509,7.9825,3.0963,59.212,0.02009,59.212,0.01944,1.3814,1.8143,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.02354,560521,0,4.6586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010235,NaN,NaN,2.254,12.882,975.03,339.11,0.16149,0.078999
12.428,322.66,-7.1589,1.2498,7.5519,1.8771,58.794,0.020162,58.794,0.019648,1.7545,1.4005,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.02227,530338,0,4.1701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8017e-4,NaN,NaN,2.3324,12.89,975.18,339.11,0.26637,0.079062
12.928,319.11,-7.041,0.23585,7.1759,0.72997,57.83,0.020207,57.83,0.02002,2.0999,0.69082,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.021161,504010,0,3.7659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5165e-4,NaN,NaN,2.2484,12.903,975.41,339.12,0.5,0.07914
13.428,315.58,-7.0964,-0.11091,7.0413,0.14692,56.792,0.020187,56.792,0.020365,2.0517,0.096353,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020763,494696,0,3.6272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5209e-4,NaN,NaN,2.0305,12.926,975.82,339.13,0.5,0.079209
13.928,312.04,-7.0726,0.047709,7.0983,0.23405,55.795,0.020144,55.795,0.020686,1.9372,0.22914,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.02093,498842,0,3.6874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5659e-4,NaN,NaN,1.8871,12.949,976.24,339.15,0.5,0.079273
14.428,308.5,-7.0792,-0.013198,7.0758,0.29495,54.863,0.020096,54.863,0.020987,1.7898,0.29466,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020863,497396,0,3.6653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4858e-4,NaN,NaN,1.7247,12.972,976.65,339.16,0.5,0.079337
14.928,304.96,-7.0771,0.0041143,7.0793,0.052006,53.975,0.020049,53.975,0.021282,1.7639,0.051843,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020872,497782,0,3.6702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4321e-4,NaN,NaN,1.753,12.995,977.07,339.17,0.5,0.079403
15.428,301.42,-7.0684,0.017402,7.0885,0.55596,53.024,0.020003,53.024,0.021615,2.0418,0.55569,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020898,498571,0,3.681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4192e-4,NaN,NaN,2.1655,13.018,977.48,339.19,0.5,0.079467
15.928,297.89,-7.0758,-0.01477,7.0715,0.29006,52.039,0.019956,52.039,0.021972,1.8969,0.28969,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020847,497514,0,3.6646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5273e-4,NaN,NaN,1.833,13.041,977.9,339.2,0.5,0.079532
16.428,294.35,-7.0714,0.0088574,7.0788,0.2836,51.055,0.019907,51.055,0.022341,2.0386,0.28346,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020868,498166,0,3.6735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4724e-4,NaN,NaN,2.1022,13.064,978.31,339.22,0.5,0.079596
16.928,290.81,-7.0712,2.6009e-4,7.0746,0.29503,50.073,0.019858,50.073,0.022722,1.8911,0.29503,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020855,498008,0,3.6703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5294e-4,NaN,NaN,1.8262,13.087,978.73,339.23,0.5,0.079659
17.428,287.28,-7.0712,1.459e-4,7.0722,0.16049,49.107,0.019808,49.107,0.023111,1.9714,0.16049,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020847,497982,0,3.6692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4644e-4,NaN,NaN,2.0077,13.11,979.14,339.24,0.5,0.079723
17.928,283.74,-7.0698,0.0026781,7.0717,0.11664,48.107,0.019759,48.107,0.023534,2.0297,0.11661,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020845,498084,0,3.6699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.499e-4,NaN,NaN,2.0562,13.133,979.56,339.26,0.5,0.079786
18.428,280.21,-7.0653,0.0089795,7.0751,0.38106,47.139,0.019709,47.139,0.023956,1.8392,0.38095,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020854,498467,0,3.6747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5235e-4,NaN,NaN,1.7555,13.156,979.97,339.27,0.5,0.07985
18.928,276.68,-7.0683,-0.0058642,7.0665,0.17989,46.242,0.01966,46.242,0.02436,1.7493,0.1798,NaN,NaN,NaN,NaN,374.69,0,NaN,NaN,NaN,NaN,NaN,0.020828,497998,0,3.667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4353e-4,NaN,NaN,1.71,13.179,980.39,339.29,0.5,0.079914
